period_flag,category_raw,value,category_std,confidence,review_reason
CORE,총계 / 발생건수[건],17728651.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,총계 / 검거인원[명],16933308.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,총계 / 검거건수[건],14471512.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,총계 / 남자검거인원[명],13356173.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,형법범 / 발생건수[건],10051224.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,형법범 / 검거인원[명],9127620.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,특별법범 / 검거인원[명],7805688.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,특별법범 / 발생건수[건],7677427.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,형법범 / 검거건수[건],7413049.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,형법범 / 남자검거인원[명],7180617.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,특별법범 / 검거건수[건],7058463.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,특별법범 / 남자검거인원[명],6175556.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,재산범죄 / 발생건수[건],6097950.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,재산범죄 / 검거인원[명],4066037.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,폭행 / 검거인원[명],3979784.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,절도 / 발생건수[건],3904424.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,재산범죄 / 검거건수[건],3840654.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,총계 / 여자검거인원[명],3318720.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,폭행 / 남자검거인원[명],3243558.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,재산범죄 / 남자검거인원[명],3107722.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,강력범죄(폭력) / 검거인원[명],2976604.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,폭행 / 발생건수[건],2959409.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,폭행 / 검거건수[건],2801999.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,강력범죄(폭력) / 남자검거인원[명],2444927.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,절도 / 검거건수[건],2262491.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,절도,2207816.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,강력범죄(폭력) / 발생건수[건],2202940.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,강력범죄(폭력) / 검거건수[건],2074174.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,절도 / 검거인원[명],1961516.0,OTHER,LOW,HIGH_IMPACT_OTHER
CORE,형법범 / 여자검거인원[명],1787124.0,OTHER,LOW,HIGH_IMPACT_OTHER
