period_flag,category_raw,value,category_std,confidence
CORE,총계,17763808.5,OTHER,LOW
CORE,형법범,10071432.5,OTHER,LOW
CORE,특별법범 / 소계 / 소계,9395587.0,OTHER,LOW
CORE,형법범 / 소계 / 소계,8422742.0,OTHER,LOW
CORE,특별법범,7693221.7,OTHER,LOW
CORE,재산범죄,6110394.5,OTHER,LOW
CORE,형법범 / 재산범죄 / 소계,4915784.0,OTHER,LOW
CORE,절도,3913165.9,OTHER,LOW
CORE,폭행,2967034.3,OTHER,LOW
CORE,특별법범 / 도로교통법（음주운전） / 소계,2574617.0,OTHER,LOW
CORE,형법범 / 강력범죄(폭력) / 소계,2292414.0,OTHER,LOW
CORE,강력범죄(폭력),2208147.6,OTHER,LOW
CORE,형법범 / 재산범죄 / 절도,2207816.0,OTHER,LOW
EXT,총계,1733431.5,OTHER,LOW
CORE,특별법범 / 교통사고처리특례법 / 소계,1732752.0,OTHER,LOW
CORE,교통사고처리특례법,1655746.4,OTHER,LOW
CORE,도로교통법(음주운전),1451425.2,OTHER,LOW
CORE,손괴,1148444.5,OTHER,LOW
EXT,형법범,1098340.7,OTHER,LOW
CORE,기타형법범죄,992916.7,OTHER,LOW
CORE,형법범 / 강력범죄(폭력) / 폭행,892281.0,OTHER,LOW
CORE,상해,880241.7,OTHER,LOW
EXT,재산범죄,748314.6,OTHER,LOW
CORE,형법범 / 강력범죄(폭력) / 폭력행위등처벌에관한법률위반,674370.0,OTHER,LOW
CORE,특별법범 / 도로교통법（무면허운전） / 소계,649850.0,OTHER,LOW
EXT,특별법범,635175.1,OTHER,LOW
CORE,형법범 / 강력범죄(폭력) / 상해,631967.0,OTHER,LOW
CORE,특별법범 / 기타특별법 / 소계,601143.0,OTHER,LOW
CORE,특별법범 / 도로교통법 / 소계,555697.0,OTHER,LOW
CORE,형법범 / 기타형법범죄 / 소계,534026.0,OTHER,LOW
CORE,기타특별법,509965.89999999997,OTHER,LOW
CORE,도로교통법(사고후미조치),399630.7,OTHER,LOW
CORE,형법범 / 재산범죄 / 손괴,395290.0,OTHER,LOW
CORE,특별법범 / 근로기준법 / 소계,391610.0,OTHER,LOW
CORE,근로기준법,387657.5,OTHER,LOW
EXT,절도,364251.9,OTHER,LOW
CORE,강력범죄(흉악),363389.6,OTHER,LOW
CORE,성폭력,331955.3,OTHER,LOW
CORE,도로교통법(무면허운전),320844.0,OTHER,LOW
CORE,명예,301749.6,OTHER,LOW
CORE,자동차 손해배상 보장법,292429.60000000003,OTHER,LOW
CORE,특별법범 / 저작권법 / 소계,287590.0,OTHER,LOW
CORE,특별법범 / 도로법 / 소계,285800.0,OTHER,LOW
CORE,특별법범 / 자동차관리법 / 소계,264668.0,OTHER,LOW
CORE,특별법범 / 자동차손해배상보장법 / 소계,259491.0,OTHER,LOW
CORE,공무방해,251733.5,OTHER,LOW
CORE,자동차관리법,250729.6,OTHER,LOW
EXT,폭행,236676.3,OTHER,LOW
CORE,형법범 / 위조범죄 / 소계,230962.0,OTHER,LOW
CORE,형법범 / 강력범죄(흉악) / 소계,225934.0,OTHER,LOW
